method,dataset,aux_var,50,100,200,400,800
DeepEST,SSTtestAuxDS,Confidence_Score,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
DeepEST,SSTtestAuxDS,DSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
DeepEST,SSTtestAuxDS,LSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
DeepEST,SSTtestAuxDS,Prediction_Entropy,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
DeepEST,SSTtestAuxDS,Similarity_Score,0.0709601104931123,0.0626605743316182,0.0314687707144248,0.0162722972078808,0.0084225241382838
DeepEST,imdb300AuxDS,Confidence_Score,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
DeepEST,imdb300AuxDS,DSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
DeepEST,imdb300AuxDS,LSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
DeepEST,imdb300AuxDS,Prediction_Entropy,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
DeepEST,imdb300AuxDS,Similarity_Score,0.0964605291710999,0.0575748099096826,0.0315111416851197,0.016190569465298,0.0082410933790062
DeepEST,imdbAuxDS,Confidence_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
DeepEST,imdbAuxDS,DSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
DeepEST,imdbAuxDS,LSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
DeepEST,imdbAuxDS,Prediction_Entropy,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
DeepEST,imdbAuxDS,Similarity_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
GBS,SSTtestAuxDS,Confidence_Score,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
GBS,SSTtestAuxDS,DSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
GBS,SSTtestAuxDS,LSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
GBS,SSTtestAuxDS,Prediction_Entropy,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
GBS,SSTtestAuxDS,Similarity_Score,0.0709601104931123,0.0626605743316182,0.0314687707144248,0.0162722972078808,0.0084225241382838
GBS,imdb300AuxDS,Confidence_Score,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
GBS,imdb300AuxDS,DSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
GBS,imdb300AuxDS,LSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
GBS,imdb300AuxDS,Prediction_Entropy,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
GBS,imdb300AuxDS,Similarity_Score,0.0964605291710999,0.0575748099096826,0.0315111416851197,0.016190569465298,0.0082410933790062
GBS,imdbAuxDS,Confidence_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
GBS,imdbAuxDS,DSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
GBS,imdbAuxDS,LSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
GBS,imdbAuxDS,Prediction_Entropy,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
GBS,imdbAuxDS,Similarity_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
RHC-S,SSTtestAuxDS,Confidence_Score,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
RHC-S,SSTtestAuxDS,DSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
RHC-S,SSTtestAuxDS,LSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
RHC-S,SSTtestAuxDS,Prediction_Entropy,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
RHC-S,SSTtestAuxDS,Similarity_Score,0.0709601104931123,0.0626605743316182,0.0314687707144248,0.0162722972078808,0.0084225241382838
RHC-S,imdb300AuxDS,Confidence_Score,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
RHC-S,imdb300AuxDS,DSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
RHC-S,imdb300AuxDS,LSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
RHC-S,imdb300AuxDS,Prediction_Entropy,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
RHC-S,imdb300AuxDS,Similarity_Score,0.0964605291710999,0.0575748099096826,0.0315111416851197,0.016190569465298,0.0082410933790062
RHC-S,imdbAuxDS,Confidence_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
RHC-S,imdbAuxDS,DSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
RHC-S,imdbAuxDS,LSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
RHC-S,imdbAuxDS,Prediction_Entropy,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
RHC-S,imdbAuxDS,Similarity_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SSRS,SSTtestAuxDS,Confidence_Score,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
SSRS,SSTtestAuxDS,DSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
SSRS,SSTtestAuxDS,LSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
SSRS,SSTtestAuxDS,Prediction_Entropy,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
SSRS,SSTtestAuxDS,Similarity_Score,0.0709601104931123,0.0626605743316182,0.0314687707144248,0.0162722972078808,0.0084225241382838
SSRS,imdb300AuxDS,Confidence_Score,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
SSRS,imdb300AuxDS,DSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
SSRS,imdb300AuxDS,LSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
SSRS,imdb300AuxDS,Prediction_Entropy,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
SSRS,imdb300AuxDS,Similarity_Score,0.0964605291710999,0.0575748099096826,0.0315111416851197,0.016190569465298,0.0082410933790062
SSRS,imdbAuxDS,Confidence_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SSRS,imdbAuxDS,DSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SSRS,imdbAuxDS,LSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SSRS,imdbAuxDS,Prediction_Entropy,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SSRS,imdbAuxDS,Similarity_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SUPS,SSTtestAuxDS,Confidence_Score,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
SUPS,SSTtestAuxDS,DSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
SUPS,SSTtestAuxDS,LSA,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
SUPS,SSTtestAuxDS,Prediction_Entropy,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05,4.2543946991990815e-05
SUPS,SSTtestAuxDS,Similarity_Score,0.0709601104931123,0.0626605743316182,0.0314687707144248,0.0162722972078808,0.0084225241382838
SUPS,imdb300AuxDS,Confidence_Score,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
SUPS,imdb300AuxDS,DSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
SUPS,imdb300AuxDS,LSA,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
SUPS,imdb300AuxDS,Prediction_Entropy,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05,3.3677892630867845e-05
SUPS,imdb300AuxDS,Similarity_Score,0.0964605291710999,0.0575748099096826,0.0315111416851197,0.016190569465298,0.0082410933790062
SUPS,imdbAuxDS,Confidence_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SUPS,imdbAuxDS,DSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SUPS,imdbAuxDS,LSA,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SUPS,imdbAuxDS,Prediction_Entropy,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
SUPS,imdbAuxDS,Similarity_Score,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05,2.000000000002e-05
